true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_daily,half_normal,weak,0.0,0.1826356197909384
0.0,aggregate_daily,half_normal,weak,0.25,0.11325642128366295
0.0,aggregate_daily,half_normal,weak,0.5,0.1098961419421021
0.0,aggregate_daily,half_normal,weak,0.75,0.12191405271946316
0.0,aggregate_daily,half_normal,weak,1.0,0.08460675078830998
0.0,aggregate_daily,half_normal,weak,1.25,0.10859049139043614
0.0,aggregate_daily,half_normal,weak,1.5,0.0005908232631497769
0.0,aggregate_daily,half_normal,weak,1.75,9.719879241002682e-5
0.0,aggregate_daily,half_normal,weak,2.0,0.04836207281388481
0.0,aggregate_daily,half_normal,weak,2.25,0.057962525578364406
0.0,aggregate_daily,half_normal,weak,2.5,0.04714804487681986
0.0,aggregate_daily,half_normal,weak,2.75,0.045224547875302466
0.0,aggregate_daily,half_normal,weak,3.0,0.06666672331724222
0.0,aggregate_daily,half_normal,weak,3.25,0.012325746380170555
0.0,aggregate_daily,half_normal,weak,3.5,0.000722839187743163
0.0,aggregate_daily,half_normal,moderate,0.0,0.20707909006918424
0.0,aggregate_daily,half_normal,moderate,0.25,0.13446692726200618
0.0,aggregate_daily,half_normal,moderate,0.5,0.12495888290227802
0.0,aggregate_daily,half_normal,moderate,0.75,0.13433025019894548
0.0,aggregate_daily,half_normal,moderate,1.0,0.10065057694112009
0.0,aggregate_daily,half_normal,moderate,1.25,0.0986725347084334
0.0,aggregate_daily,half_normal,moderate,1.5,0.0004362387092609065
0.0,aggregate_daily,half_normal,moderate,1.75,0.00010169149581167028
0.0,aggregate_daily,half_normal,moderate,2.0,0.03663818107358536
0.0,aggregate_daily,half_normal,moderate,2.25,0.03489623336719346
0.0,aggregate_daily,half_normal,moderate,2.5,0.02441397809875441
0.0,aggregate_daily,half_normal,moderate,2.75,0.030166240335177518
0.0,aggregate_daily,half_normal,moderate,3.0,0.0666667029834907
0.0,aggregate_daily,half_normal,moderate,3.25,0.006273781713690319
0.0,aggregate_daily,half_normal,moderate,3.5,0.00024869014106818966
0.0,aggregate_daily,half_normal,strong,0.0,0.27374935689254737
0.0,aggregate_daily,half_normal,strong,0.25,0.18866249968823176
0.0,aggregate_daily,half_normal,strong,0.5,0.15332055112200926
0.0,aggregate_daily,half_normal,strong,0.75,0.13777260801815924
0.0,aggregate_daily,half_normal,strong,1.0,0.11908093150734143
0.0,aggregate_daily,half_normal,strong,1.25,0.04979434502366964
0.0,aggregate_daily,half_normal,strong,1.5,0.00011494232097787487
0.0,aggregate_daily,half_normal,strong,1.75,7.888124503671948e-5
0.0,aggregate_daily,half_normal,strong,2.0,0.0061939764478296695
0.0,aggregate_daily,half_normal,strong,2.25,0.0023047308302376517
0.0,aggregate_daily,half_normal,strong,2.5,0.000767881947610978
0.0,aggregate_daily,half_normal,strong,2.75,0.0014408123681453994
0.0,aggregate_daily,half_normal,strong,3.0,0.06666666752274976
0.0,aggregate_daily,half_normal,strong,3.25,5.126359318046902e-5
0.0,aggregate_daily,half_normal,strong,3.5,5.514722728678792e-7
0.0,aggregate_daily,exponential,weak,0.0,0.21121242204665805
0.0,aggregate_daily,exponential,weak,0.25,0.12725843560135325
0.0,aggregate_daily,exponential,weak,0.5,0.11427522564403123
0.0,aggregate_daily,exponential,weak,0.75,0.12018251719048643
0.0,aggregate_daily,exponential,weak,1.0,0.08422704540630717
0.0,aggregate_daily,exponential,weak,1.25,0.09451059172422703
0.0,aggregate_daily,exponential,weak,1.5,0.00044382304370874066
0.0,aggregate_daily,exponential,weak,1.75,8.194211681371382e-5
0.0,aggregate_daily,exponential,weak,2.0,0.04093864774360826
0.0,aggregate_daily,exponential,weak,2.25,0.04786392366596771
0.0,aggregate_daily,exponential,weak,2.5,0.039045243537555306
0.0,aggregate_daily,exponential,weak,2.75,0.04088499694361403
0.0,aggregate_daily,exponential,weak,3.0,0.06666671836091784
0.0,aggregate_daily,exponential,weak,3.25,0.011717939569859153
0.0,aggregate_daily,exponential,weak,3.5,0.000690527404892056
0.0,aggregate_daily,exponential,moderate,0.0,0.289069732190034
0.0,aggregate_daily,exponential,moderate,0.25,0.16604194073968478
0.0,aggregate_daily,exponential,moderate,0.5,0.12563949864368185
0.0,aggregate_daily,exponential,moderate,0.75,0.11474097701492444
0.0,aggregate_daily,exponential,moderate,1.0,0.08702341277835424
0.0,aggregate_daily,exponential,moderate,1.25,0.06132652816745122
0.0,aggregate_daily,exponential,moderate,1.5,0.00019362227016080457
0.0,aggregate_daily,exponential,moderate,1.75,7.157274606667334e-5
0.0,aggregate_daily,exponential,moderate,2.0,0.02137955345311868
0.0,aggregate_daily,exponential,moderate,2.25,0.020647965415719567
0.0,aggregate_daily,exponential,moderate,2.5,0.015052990458740192
0.0,aggregate_daily,exponential,moderate,2.75,0.025288989155145995
0.0,aggregate_daily,exponential,moderate,3.0,0.06666670092241939
0.0,aggregate_daily,exponential,moderate,3.25,0.0065662565420147945
0.0,aggregate_daily,exponential,moderate,3.5,0.0002902595024834074
0.0,aggregate_daily,exponential,strong,0.0,0.3932014692037261
0.0,aggregate_daily,exponential,strong,0.25,0.20081093237654915
0.0,aggregate_daily,exponential,strong,0.5,0.12129921227081288
0.0,aggregate_daily,exponential,strong,0.75,0.08724059420634012
0.0,aggregate_daily,exponential,strong,1.0,0.0783827310956605
0.0,aggregate_daily,exponential,strong,1.25,0.02646763124577277
0.0,aggregate_daily,exponential,strong,1.5,5.0345752327807474e-5
0.0,aggregate_daily,exponential,strong,1.75,7.074559900250508e-5
0.0,aggregate_daily,exponential,strong,2.0,0.00697611755214171
0.0,aggregate_daily,exponential,strong,2.25,0.004424251474962051
0.0,aggregate_daily,exponential,strong,2.5,0.0025830609260965123
0.0,aggregate_daily,exponential,strong,2.75,0.00991943140455495
0.0,aggregate_daily,exponential,strong,3.0,0.06666667950674605
0.0,aggregate_daily,exponential,strong,3.25,0.0018517808776036789
0.0,aggregate_daily,exponential,strong,3.5,5.50165077031287e-5
0.0,aggregate_daily,spike_slab,weak,0.0,0.3487574620763382
0.0,aggregate_daily,spike_slab,weak,0.25,0.09106263965013733
0.0,aggregate_daily,spike_slab,weak,0.5,0.08752219782540359
0.0,aggregate_daily,spike_slab,weak,0.75,0.0970741269661586
0.0,aggregate_daily,spike_slab,weak,1.0,0.08044042752644529
0.0,aggregate_daily,spike_slab,weak,1.25,0.07539744620242227
0.0,aggregate_daily,spike_slab,weak,1.5,0.00024220486262591857
0.0,aggregate_daily,spike_slab,weak,1.75,7.067907636655737e-5
0.0,aggregate_daily,spike_slab,weak,2.0,0.0335958457956882
0.0,aggregate_daily,spike_slab,weak,2.25,0.04095372348461763
0.0,aggregate_daily,spike_slab,weak,2.5,0.03160439375992428
0.0,aggregate_daily,spike_slab,weak,2.75,0.03704913406297703
0.0,aggregate_daily,spike_slab,weak,3.0,0.06666671025673111
0.0,aggregate_daily,spike_slab,weak,3.25,0.009096968688316078
