eta,alpha,loglik,logprior,logpost,posterior_weight
0.0,-4.399999999999835,-32965.991011544196,-0.0,-32965.991011544196,0.0
0.01,-4.400006254145836,-32913.187102466785,-0.0,-32913.187102466785,0.0
0.02,-4.400045173846792,-32860.585174518834,-0.0,-32860.585174518834,0.0
0.03,-4.400116964358887,-32808.1865295716,-0.0,-32808.1865295716,0.0
0.04,-4.400221830091624,-32755.99246438778,-0.0,-32755.99246438778,0.0
0.05,-4.400359974562633,-32704.004270336955,-0.0,-32704.004270336955,0.0
0.06,-4.400531600358448,-32652.22323310963,-0.0,-32652.22323310963,0.0
0.07,-4.40073690908676,-32600.650632429093,-0.0,-32600.650632429093,0.0
0.08,-4.40097610133634,-32549.287741762055,-0.0,-32549.287741762055,0.0
0.09,-4.4012493766301475,-32498.135828027458,-0.0,-32498.135828027458,0.0
0.1,-4.401556933385251,-32447.19615130429,-0.0,-32447.19615130429,0.0
0.11,-4.401898968864231,-32396.469964537606,-0.0,-32396.469964537606,0.0
0.12,-4.402275679134249,-32345.95851324393,-0.0,-32345.95851324393,0.0
0.13,-4.402687259020155,-32295.663035215228,-0.0,-32295.663035215228,0.0
0.14,-4.4031339020635585,-32245.58476022227,-0.0,-32245.58476022227,0.0
0.15,-4.40361580047508,-32195.724909717,-0.0,-32195.724909717,0.0
0.16,-4.4041331450900145,-32146.08469653424,-0.0,-32146.08469653424,0.0
0.17,-4.404686125326549,-32096.66532459319,-0.0,-32096.66532459319,0.0
0.18,-4.405274929138017,-32047.467988598088,-0.0,-32047.467988598088,0.0
0.19,-4.405899742968558,-31998.493873738902,-0.0,-31998.493873738902,0.0
0.2,-4.4065607517130445,-31949.744155392043,-0.0,-31949.744155392043,0.0
0.21,-4.407258138665071,-31901.21999882053,-0.0,-31901.21999882053,0.0
0.22,-4.407992085478583,-31852.922558875016,-0.0,-31852.922558875016,0.0
0.23,-4.40876277212098,-31804.85297969463,-0.0,-31804.85297969463,0.0
0.24,-4.409570376829635,-31757.012394408557,-0.0,-31757.012394408557,0.0
0.25,-4.410415076066698,-31709.401924837955,-0.0,-31709.401924837955,0.0
0.26,-4.411297044475617,-31662.022681198854,-0.0,-31662.022681198854,0.0
0.27,-4.4122164548385,-31614.875761805855,-0.0,-31614.875761805855,0.0
0.28,-4.413173478030075,-31567.962252776815,-0.0,-31567.962252776815,0.0
0.29,-4.414168282975908,-31521.283227738837,-0.0,-31521.283227738837,0.0
0.3,-4.415201036610625,-31474.839747535607,-0.0,-31474.839747535607,0.0
0.31,-4.416271903829312,-31428.632859935944,-0.0,-31428.632859935944,0.0
0.32,-4.417381047453404,-31382.663599344643,-0.0,-31382.663599344643,0.0
0.33,-4.418528628178677,-31336.932986514243,-0.0,-31336.932986514243,0.0
0.34,-4.4197148045419965,-31291.442028259728,-0.0,-31291.442028259728,0.0
0.35,-4.420939732874416,-31246.19171717453,-0.0,-31246.19171717453,0.0
0.36,-4.422203567258549,-31201.183031349155,-0.0,-31201.183031349155,0.0
0.37,-4.423506459493609,-31156.416934092496,-0.0,-31156.416934092496,0.0
0.38,-4.424848559048513,-31111.894373655177,-0.0,-31111.894373655177,0.0
0.39,-4.426230013025219,-31067.61628295608,-0.0,-31067.61628295608,0.0
0.4,-4.427650966116943,-31023.583579311548,-0.0,-31023.583579311548,0.0
0.41,-4.429111560572352,-30979.797164167892,-0.0,-30979.797164167892,0.0
0.42,-4.430611936151223,-30936.257922836663,-0.0,-30936.257922836663,0.0
0.43,-4.432152230090338,-30892.96672423375,-0.0,-30892.96672423375,0.0
0.44,-4.433732577065115,-30849.924420621825,-0.0,-30849.924420621825,0.0
0.45,-4.435353109151237,-30807.13184735635,-0.0,-30807.13184735635,0.0
0.46,-4.437013955787137,-30764.589822635466,-0.0,-30764.589822635466,0.0
0.47,-4.438715243740745,-30722.29914725403,-0.0,-30722.29914725403,0.0
0.48,-4.440457097071118,-30680.26060436146,-0.0,-30680.26060436146,0.0
0.49,-4.442239637095184,-30638.47495922413,-0.0,-30638.47495922413,0.0
0.5,-4.444062982353643,-30596.942958992015,-0.0,-30596.942958992015,0.0
0.51,-4.445927248574293,-30555.66533246984,-0.0,-30555.66533246984,0.0
0.52,-4.447832548643902,-30514.642789893187,-0.0,-30514.642789893187,0.0
0.53,-4.449778992572391,-30473.876022709137,-0.0,-30473.876022709137,0.0
0.54,-4.45176668746214,-30433.36570336203,-0.0,-30433.36570336203,0.0
0.55,-4.453795737478146,-30393.11248508437,-0.0,-30393.11248508437,0.0
0.56,-4.455866243818178,-30353.117001692914,-0.0,-30353.117001692914,0.0
0.57,-4.4579783046795285,-30313.37986738994,-0.0,-30313.37986738994,0.0
0.58,-4.460132015235985,-30273.90167657048,-0.0,-30273.90167657048,0.0
0.59,-4.462327467607139,-30234.683003634706,-0.0,-30234.683003634706,0.0
0.6,-4.464564750831954,-30195.72440280627,-0.0,-30195.72440280627,0.0
0.61,-4.466843950841479,-30157.026407956437,-0.0,-30157.026407956437,0.0
0.62,-4.469165150437533,-30118.589532434366,-0.0,-30118.589532434366,0.0
0.63,-4.471528429263714,-30080.414268903118,-0.0,-30080.414268903118,0.0
0.64,-4.473933863784083,-30042.501089182144,-0.0,-30042.501089182144,0.0
0.65,-4.4763815272609975,-30004.850444096013,-0.0,-30004.850444096013,0.0
0.66,-4.478871489731233,-29967.46276332937,-0.0,-29967.46276332937,0.0
0.67,-4.481403817988934,-29930.338455288686,-0.0,-29930.338455288686,0.0
0.68,-4.483978575560883,-29893.477906970158,-0.0,-29893.477906970158,0.0
0.69,-4.48659582269201,-29856.881483834735,-0.0,-29856.881483834735,0.0
0.7,-4.489255616325778,-29820.54952968959,-0.0,-29820.54952968959,0.0
0.71,-4.491958010085426,-29784.482366576387,-0.0,-29784.482366576387,0.0
0.72,-4.494703054259475,-29748.680294666683,-0.0,-29748.680294666683,0.0
0.73,-4.497490795788082,-29713.143592164208,-0.0,-29713.143592164208,0.0
0.74,-4.500321278245991,-29677.872515214,-0.0,-29677.872515214,0.0
0.75,-4.503194541831448,-29642.867297818953,-0.0,-29642.867297818953,0.0
0.76,-4.506110623352555,-29608.12815176317,-0.0,-29608.12815176317,0.0
0.77,-4.509069556217042,-29573.655266542824,-0.0,-29573.655266542824,0.0
0.78,-4.512071370424593,-29539.448809304264,-0.0,-29539.448809304264,0.0
0.79,-4.515116092551494,-29505.50892478895,-0.0,-29505.50892478895,0.0
0.8,-4.51820374575064,-29471.835735286495,-0.0,-29471.835735286495,0.0
0.81,-4.521334349736179,-29438.429340594215,-0.0,-29438.429340594215,0.0
0.82,-4.524507920785226,-29405.289817984885,-0.0,-29405.289817984885,0.0
0.83,-4.527724471726771,-29372.41722218122,-0.0,-29372.41722218122,0.0
0.84,-4.530984011942536,-29339.811585338277,-0.0,-29339.811585338277,0.0
0.85,-4.534286547361006,-29307.47291703298,-0.0,-29307.47291703298,0.0
0.86,-4.537632080455722,-29275.401204261205,-0.0,-29275.401204261205,0.0
0.87,-4.541020610247841,-29243.596411442504,-0.0,-29243.596411442504,0.0
0.88,-4.544452132301018,-29212.058480431773,-0.0,-29212.058480431773,0.0
0.89,-4.547926638729081,-29180.78733053903,-0.0,-29180.78733053903,0.0
0.9,-4.55144411819262,-29149.782858555973,-0.0,-29149.782858555973,0.0
0.91,-4.555004555904958,-29119.04493879032,-0.0,-29119.04493879032,0.0
0.92,-4.55860793363982,-29088.57342310764,-0.0,-29088.57342310764,0.0
0.93,-4.562254229728779,-29058.368140979896,-0.0,-29058.368140979896,0.0
0.94,-4.5659434190766035,-29028.42889954221,-0.0,-29028.42889954221,0.0
0.95,-4.569675473162107,-28998.755483656125,-0.0,-28998.755483656125,0.0
0.96,-4.573450360052647,-28969.347655980673,-0.0,-28969.347655980673,0.0
0.97,-4.577268044408385,-28940.205157050143,-0.0,-28940.205157050143,0.0
0.98,-4.581128487495931,-28911.327705359385,-0.0,-28911.327705359385,0.0
0.99,-4.585031647198576,-28882.71499745595,-0.0,-28882.71499745595,0.0
1.0,-4.588977478031637,-28854.36670803946,-0.0,-28854.36670803946,0.0
1.01,-4.5929659311526905,-28826.282490067628,-0.0,-28826.282490067628,0.0
1.02,-4.5969969543794775,-28798.461974869497,-0.0,-28798.461974869497,0.0
1.03,-4.601070492200989,-28770.90477226508,-0.0,-28770.90477226508,0.0
1.04,-4.605186485799635,-28743.610470692216,-0.0,-28743.610470692216,0.0
1.05,-4.609344873065737,-28716.57863733967,-0.0,-28716.57863733967,0.0
1.06,-4.6135455886154375,-28689.80881828685,-0.0,-28689.80881828685,0.0
1.07,-4.617788563812866,-28663.30053865021,-0.0,-28663.30053865021,0.0
1.08,-4.6220737267871925,-28637.053302735647,-0.0,-28637.053302735647,0.0
1.09,-4.6264010024573565,-28611.06659419755,-0.0,-28611.06659419755,0.0
1.1,-4.630770312551675,-28585.33987620367,-0.0,-28585.33987620367,0.0
1.11,-4.635181575631719,-28559.872591606203,-0.0,-28559.872591606203,0.0
1.12,-4.63963470711704,-28534.66416311884,-0.0,-28534.66416311884,0.0
1.13,-4.644129619309041,-28509.7139934995,-0.0,-28509.7139934995,0.0
1.14,-4.64866622141912,-28485.02146573901,-0.0,-28485.02146573901,0.0
1.15,-4.653244419589129,-28460.585943254842,-0.0,-28460.585943254842,0.0
