label,beta_mf_true,beta_map,beta_mean,beta_sd,ci_lo,ci_hi,ci_width,bias_map,bias_mean
uniform_single,0.48768,0.49520890828229414,0.49540192274643335,0.011129084299851552,0.47343813393196527,0.5179807988964874,0.04454266496452214,0.007528908282294133,0.007721922746433352
community_1outbreak,0.48856000000000005,0.4472303830860073,0.447006618598194,0.0095986702864277,0.42885232452842437,0.46639601586676216,0.03754369133833779,-0.04132961691399273,-0.04155338140180603
community_1outbreaks,0.48856000000000005,0.3582670917091241,0.3580670899709737,0.006876083744565375,0.3445760334925009,0.3713873340674893,0.026811300574988428,-0.13029290829087598,-0.13049291002902635
community_5outbreaks,0.48856000000000005,0.3943308047167642,0.39464313038600046,0.0035629844143610077,0.38730278510425886,0.4014863551954895,0.014183570091230613,-0.09422919528323587,-0.09391686961399959
community_10outbreaks,0.48856000000000005,0.3758666659564182,0.3753522089025719,0.002322853653669928,0.3713873340674893,0.38040002342007906,0.009012689352589753,-0.11269333404358184,-0.11320779109742812
community_20outbreaks,0.48856000000000005,0.39551447817034685,0.3959792835384036,0.0017888636305866074,0.3919740745017406,0.3990868596123622,0.007112785110621578,-0.0930455218296532,-0.09258071646159644
eta_0.0,0.48389200000000004,0.4432270502717079,0.4426269083958004,0.002133368985286352,0.43794496159468715,0.4472303830860073,0.009285421491320167,-0.040664949728292155,-0.041265091604199666
eta_0.5,0.48387600000000003,0.4327258213789004,0.4327042506155806,0.0020435104522864293,0.42885232452842437,0.4366343045801375,0.007781980051713155,-0.05115017862109961,-0.05117174938441943
eta_1.0,0.484884,0.4314307839132293,0.4317624738410125,0.0020461481008485108,0.4275688794459593,0.43532757002608047,0.007758690580121186,-0.05345321608677067,-0.053121526158987464
eta_1.5,0.48562400000000006,0.4432270502717079,0.44375131625196307,0.0021416546609051533,0.4392595528438852,0.44857284663631186,0.00931329379242668,-0.042396949728292166,-0.04187268374803699
eta_2.0,0.4851560000000001,0.4199484692865209,0.42052740305725117,0.001934347975430621,0.4174386343091817,0.4237415443851164,0.006302910075934698,-0.06520753071347918,-0.06462859694274892
eta_2.5,0.484952,0.41370197900603584,0.4138423919607402,0.0019499381628322304,0.40999877195541606,0.4174386343091817,0.007439862353765647,-0.07125002099396416,-0.07110960803925981
eta_3.0,0.486484,0.3978924949368082,0.39806677586494066,0.0017942463391089811,0.3943308047167642,0.4014863551954895,0.007155550478725292,-0.0885915050631918,-0.08841722413505937
