t,S,I,R,new_infections,new_recoveries
0.0,997,3,0,0,0
0.25,997,3,0,1,0
0.5,996,4,0,1,1
0.75,995,4,1,0,0
1.0,995,4,1,0,0
1.25,995,4,1,0,0
1.5,995,4,1,1,0
1.75,994,5,1,0,0
2.0,994,5,1,0,0
2.25,994,5,1,0,0
2.5,994,5,1,1,0
2.75,993,6,1,0,0
3.0,993,6,1,2,0
3.25,991,8,1,2,0
3.5,989,10,1,3,0
3.75,986,13,1,0,0
4.0,986,13,1,2,0
4.25,984,15,1,4,0
4.5,980,19,1,4,0
4.75,976,23,1,3,0
5.0,973,26,1,4,0
5.25,969,30,1,5,0
5.5,964,35,1,3,2
5.75,961,36,3,1,1
6.0,960,36,4,4,1
6.25,956,39,5,6,0
6.5,950,45,5,3,1
6.75,947,47,6,5,1
7.0,942,51,7,4,1
7.25,938,54,8,7,5
7.5,931,56,13,7,1
7.75,924,62,14,8,2
8.0,916,68,16,5,1
8.25,911,72,17,4,1
8.5,907,75,18,6,3
8.75,901,78,21,11,3
9.0,890,86,24,3,4
9.25,887,85,28,8,3
9.5,879,90,31,4,5
9.75,875,89,36,7,2
10.0,868,94,38,7,2
10.25,861,99,40,9,3
10.5,852,105,43,7,2
10.75,845,110,45,5,2
11.0,840,113,47,12,2
11.25,828,123,49,8,6
11.5,820,125,55,4,3
11.75,816,126,58,11,3
12.0,805,134,61,7,4
12.25,798,137,65,8,4
12.5,790,141,69,11,1
12.75,779,151,70,7,5
13.0,772,153,75,15,4
13.25,757,164,79,8,4
13.5,749,168,83,10,0
13.75,739,178,83,8,4
14.0,731,182,87,13,2
14.25,718,193,89,15,5
14.5,703,203,94,15,3
14.75,688,215,97,19,5
15.0,669,229,102,11,9
15.25,658,231,111,14,6
15.5,644,239,117,13,4
15.75,631,248,121,16,3
16.0,615,261,124,15,7
16.25,600,269,131,22,5
16.5,578,286,136,16,6
16.75,562,296,142,25,9
17.0,537,312,151,21,7
17.25,516,326,158,26,3
17.5,490,349,161,16,9
17.75,474,356,170,15,4
18.0,459,367,174,12,5
18.25,447,374,179,21,8
18.5,426,387,187,15,7
18.75,411,395,194,20,9
19.0,391,406,203,21,8
19.25,370,419,211,11,10
19.5,359,420,221,18,10
19.75,341,428,231,19,11
20.0,322,436,242,19,13
20.25,303,442,255,16,7
20.5,287,451,262,8,10
20.75,279,449,272,12,10
21.0,267,451,282,14,10
21.25,253,455,292,20,14
21.5,233,461,306,7,18
21.75,226,450,324,4,12
22.0,222,442,336,13,9
22.25,209,446,345,5,14
22.5,204,437,359,8,16
22.75,196,429,375,5,9
23.0,191,425,384,14,10
23.25,177,429,394,7,7
23.5,170,429,401,6,12
23.75,164,423,413,5,9
24.0,159,419,422,11,7
24.25,148,423,429,7,9
24.5,141,421,438,3,9
24.75,138,415,447,5,5
25.0,133,415,452,7,7
25.25,126,415,459,5,6
25.5,121,414,465,5,9
25.75,116,410,474,6,10
26.0,110,406,484,2,14
26.25,108,394,498,2,10
26.5,106,386,508,1,7
26.75,105,380,515,2,9
27.0,103,373,524,6,5
27.25,97,374,529,4,12
27.5,93,366,541,3,6
27.75,90,363,547,4,11
28.0,86,356,558,1,5
28.25,85,352,563,4,17
28.5,81,339,580,2,7
28.75,79,334,587,0,6
29.0,79,328,593,1,5
29.25,78,324,598,2,10
29.5,76,316,608,3,6
29.75,73,313,614,3,7
30.0,70,309,621,2,5
30.25,68,306,626,1,5
30.5,67,302,631,3,3
30.75,64,302,634,1,6
31.0,63,297,640,1,5
31.25,62,293,645,4,7
31.5,58,290,652,2,12
31.75,56,280,664,2,7
32.0,54,275,671,2,6
32.25,52,271,677,1,3
32.5,51,269,680,1,5
32.75,50,265,685,0,10
33.0,50,255,695,0,8
33.25,50,247,703,1,9
33.5,49,239,712,1,5
33.75,48,235,717,0,4
34.0,48,231,721,0,4
34.25,48,227,725,2,7
34.5,46,222,732,1,4
34.75,45,219,736,0,6
35.0,45,213,742,0,7
35.25,45,206,749,1,6
35.5,44,201,755,0,10
35.75,44,191,765,0,4
36.0,44,187,769,1,4
36.25,43,184,773,0,3
36.5,43,181,776,2,10
36.75,41,173,786,0,6
37.0,41,167,792,0,4
37.25,41,163,796,0,2
37.5,41,161,798,1,5
37.75,40,157,803,0,5
38.0,40,152,808,1,4
38.25,39,149,812,0,8
38.5,39,141,820,0,7
38.75,39,134,827,0,1
39.0,39,133,828,0,3
39.25,39,130,831,1,2
39.5,38,129,833,1,4
39.75,37,126,837,0,1
40.0,37,125,838,0,6
40.25,37,119,844,0,4
40.5,37,115,848,1,4
40.75,36,112,852,0,3
41.0,36,109,855,0,1
41.25,36,108,856,0,2
41.5,36,106,858,0,3
41.75,36,103,861,0,3
42.0,36,100,864,0,4
42.25,36,96,868,0,2
42.5,36,94,870,0,4
42.75,36,90,874,0,3
43.0,36,87,877,0,3
43.25,36,84,880,0,3
43.5,36,81,883,0,3
43.75,36,78,886,0,0
44.0,36,78,886,0,3
44.25,36,75,889,2,2
44.5,34,75,891,0,2
44.75,34,73,893,0,2
45.0,34,71,895,1,0
45.25,33,72,895,0,1
45.5,33,71,896,0,2
45.75,33,69,898,1,0
46.0,32,70,898,0,0
46.25,32,70,898,0,2
46.5,32,68,900,0,0
46.75,32,68,900,0,1
47.0,32,67,901,0,1
47.25,32,66,902,0,2
47.5,32,64,904,0,0
47.75,32,64,904,0,2
48.0,32,62,906,0,3
48.25,32,59,909,0,2
48.5,32,57,911,0,1
48.75,32,56,912,0,1
49.0,32,55,913,0,0
49.25,32,55,913,0,0
49.5,32,55,913,0,0
49.75,32,55,913,0,1
50.0,32,54,914,0,0
50.25,32,54,914,0,1
50.5,32,53,915,0,1
50.75,32,52,916,0,1
51.0,32,51,917,0,2
51.25,32,49,919,0,4
51.5,32,45,923,1,0
51.75,31,46,923,0,1
52.0,31,45,924,0,1
52.25,31,44,925,0,1
52.5,31,43,926,0,1
52.75,31,42,927,0,2
53.0,31,40,929,0,1
53.25,31,39,930,0,2
53.5,31,37,932,0,2
53.75,31,35,934,0,0
54.0,31,35,934,0,0
54.25,31,35,934,0,1
54.5,31,34,935,0,0
54.75,31,34,935,0,2
55.0,31,32,937,0,0
55.25,31,32,937,0,0
55.5,31,32,937,0,1
55.75,31,31,938,0,2
56.0,31,29,940,0,0
56.25,31,29,940,0,0
56.5,31,29,940,0,1
56.75,31,28,941,0,2
57.0,31,26,943,0,0
57.25,31,26,943,0,0
57.5,31,26,943,0,1
57.75,31,25,944,0,0
58.0,31,25,944,0,0
58.25,31,25,944,0,1
58.5,31,24,945,0,0
58.75,31,24,945,0,0
59.0,31,24,945,0,0
59.25,31,24,945,0,1
59.5,31,23,946,0,1
59.75,31,22,947,0,1
60.0,31,21,948,0,1
60.25,31,20,949,0,0
60.5,31,20,949,0,0
60.75,31,20,949,0,1
61.0,31,19,950,0,0
61.25,31,19,950,0,0
61.5,31,19,950,0,0
61.75,31,19,950,0,1
62.0,31,18,951,0,0
62.25,31,18,951,0,2
62.5,31,16,953,1,0
62.75,30,17,953,0,1
63.0,30,16,954,0,1
63.25,30,15,955,0,0
63.5,30,15,955,0,0
63.75,30,15,955,0,0
64.0,30,15,955,0,0
64.25,30,15,955,0,0
64.5,30,15,955,0,1
64.75,30,14,956,0,0
65.0,30,14,956,0,0
65.25,30,14,956,0,0
65.5,30,14,956,0,0
65.75,30,14,956,0,0
66.0,30,14,956,0,0
66.25,30,14,956,0,1
66.5,30,13,957,0,0
66.75,30,13,957,0,0
67.0,30,13,957,0,0
67.25,30,13,957,0,0
67.5,30,13,957,0,1
67.75,30,12,958,0,1
68.0,30,11,959,0,0
68.25,30,11,959,0,0
68.5,30,11,959,0,0
68.75,30,11,959,0,0
69.0,30,11,959,0,0
69.25,30,11,959,0,0
69.5,30,11,959,0,0
69.75,30,11,959,0,0
70.0,30,11,959,0,0
70.25,30,11,959,0,0
70.5,30,11,959,0,0
70.75,30,11,959,0,0
71.0,30,11,959,0,1
71.25,30,10,960,0,0
71.5,30,10,960,0,0
71.75,30,10,960,0,0
72.0,30,10,960,0,0
72.25,30,10,960,0,0
72.5,30,10,960,0,0
72.75,30,10,960,0,0
73.0,30,10,960,0,0
