t,S,I,R,new_infections,new_recoveries
0.0,997,3,0,3,0
0.25,994,6,0,2,0
0.5,992,8,0,1,0
0.75,991,9,0,0,1
1.0,991,8,1,0,0
1.25,991,8,1,0,0
1.5,991,8,1,1,0
1.75,990,9,1,1,0
2.0,989,10,1,1,0
2.25,988,11,1,1,0
2.5,987,12,1,2,0
2.75,985,14,1,2,0
3.0,983,16,1,1,0
3.25,982,17,1,3,0
3.5,979,20,1,1,0
3.75,978,21,1,3,0
4.0,975,24,1,2,0
4.25,973,26,1,1,1
4.5,972,26,2,2,4
4.75,970,24,6,3,2
5.0,967,25,8,6,0
5.25,961,31,8,5,1
5.5,956,35,9,5,1
5.75,951,39,10,6,1
6.0,945,44,11,4,1
6.25,941,47,12,4,2
6.5,937,49,14,5,2
6.75,932,52,16,4,0
7.0,928,56,16,8,0
7.25,920,64,16,6,2
7.5,914,68,18,4,0
7.75,910,72,18,7,3
8.0,903,76,21,11,1
8.25,892,86,22,4,4
8.5,888,86,26,11,2
8.75,877,95,28,9,2
9.0,868,102,30,10,1
9.25,858,111,31,14,3
9.5,844,122,34,9,2
9.75,835,129,36,14,1
10.0,821,142,37,10,3
10.25,811,149,40,9,1
10.5,802,157,41,12,3
10.75,790,166,44,14,9
11.0,776,171,53,13,4
11.25,763,180,57,9,3
11.5,754,186,60,22,4
11.75,732,204,64,20,5
12.0,712,219,69,23,8
12.25,689,234,77,14,9
12.5,675,239,86,12,8
12.75,663,243,94,20,9
13.0,643,254,103,13,5
13.25,630,262,108,18,7
13.5,612,273,115,16,8
13.75,596,281,123,17,3
14.0,579,295,126,16,10
14.25,563,301,136,24,2
14.5,539,323,138,17,9
14.75,522,331,147,20,8
15.0,502,343,155,13,8
15.25,489,348,163,19,7
15.5,470,360,170,12,13
15.75,458,359,183,21,5
16.0,437,375,188,19,6
16.25,418,388,194,14,13
16.5,404,389,207,16,14
16.75,388,391,221,30,14
17.0,358,407,235,17,11
17.25,341,413,246,20,9
17.5,321,424,255,19,10
17.75,302,433,265,18,7
18.0,284,444,272,11,9
18.25,273,446,281,10,14
18.5,263,442,295,12,10
18.75,251,444,305,12,15
19.0,239,441,320,14,10
19.25,225,445,330,9,8
19.5,216,446,338,11,9
19.75,205,448,347,9,6
20.0,196,451,353,5,13
20.25,191,443,366,18,7
20.5,173,454,373,10,16
20.75,163,448,389,8,14
21.0,155,442,403,2,11
21.25,153,433,414,9,14
21.5,144,428,428,3,16
21.75,141,415,444,3,9
22.0,138,409,453,5,4
22.25,133,410,457,5,14
22.5,128,401,471,5,13
22.75,123,393,484,7,10
23.0,116,390,494,3,11
23.25,113,382,505,4,10
23.5,109,376,515,6,11
23.75,103,371,526,4,8
24.0,99,367,534,2,10
24.25,97,359,544,1,11
24.5,96,349,555,4,7
24.75,92,346,562,2,12
25.0,90,336,574,4,11
25.25,86,329,585,1,5
25.5,85,325,590,2,11
25.75,83,316,601,2,2
26.0,81,316,603,3,12
26.25,78,307,615,1,4
26.5,77,304,619,3,10
26.75,74,297,629,4,8
27.0,70,293,637,2,8
27.25,68,287,645,1,9
27.5,67,279,654,0,2
27.75,67,277,656,2,6
28.0,65,273,662,3,5
28.25,62,271,667,0,9
28.5,62,262,676,1,9
28.75,61,254,685,1,13
29.0,60,242,698,3,6
29.25,57,239,704,1,5
29.5,56,235,709,3,6
29.75,53,232,715,2,5
30.0,51,229,720,0,7
30.25,51,222,727,2,6
30.5,49,218,733,2,7
30.75,47,213,740,0,2
31.0,47,211,742,0,1
31.25,47,210,743,0,5
31.5,47,205,748,1,7
31.75,46,199,755,1,8
32.0,45,192,763,1,5
32.25,44,188,768,1,3
32.5,43,186,771,0,4
32.75,43,182,775,1,6
33.0,42,177,781,2,8
33.25,40,171,789,0,8
33.5,40,163,797,1,3
33.75,39,161,800,0,3
34.0,39,158,803,1,2
34.25,38,157,805,0,2
34.5,38,155,807,1,5
34.75,37,151,812,0,4
35.0,37,147,816,0,4
35.25,37,143,820,0,2
35.5,37,141,822,0,3
35.75,37,138,825,0,2
36.0,37,136,827,0,3
36.25,37,133,830,0,2
36.5,37,131,832,0,3
36.75,37,128,835,0,3
37.0,37,125,838,0,6
37.25,37,119,844,0,6
37.5,37,113,850,0,1
