period,t_start,t_end,true_incidence,reported_incidence,outbreak_id
1,0.0,7.0,6,6.0,1
2,7.0,14.0,83,83.0,1
3,14.0,21.0,286,286.0,1
4,21.0,28.0,377,377.0,1
5,28.0,35.0,150,150.0,1
6,35.0,42.0,39,39.0,1
7,42.0,49.0,10,10.0,1
8,49.0,56.0,4,4.0,1
9,56.0,63.0,3,3.0,1
10,63.0,70.0,3,3.0,1
11,70.0,77.0,2,2.0,1
12,77.0,84.0,0,0.0,1
13,84.0,91.0,0,0.0,1
14,91.0,98.0,0,0.0,1
15,98.0,105.0,0,0.0,1
16,105.0,112.0,0,0.0,1
17,112.0,119.0,0,0.0,1
18,119.0,126.0,0,0.0,1
19,126.0,133.0,0,0.0,1
20,133.0,140.0,0,0.0,1
21,140.0,147.0,0,0.0,1
1,0.0,7.0,53,53.0,2
2,7.0,14.0,318,318.0,2
3,14.0,21.0,381,381.0,2
4,21.0,28.0,174,174.0,2
5,28.0,35.0,38,38.0,2
6,35.0,42.0,8,8.0,2
7,42.0,49.0,2,2.0,2
8,49.0,56.0,2,2.0,2
9,56.0,63.0,0,0.0,2
10,63.0,70.0,0,0.0,2
11,70.0,77.0,0,0.0,2
12,77.0,84.0,0,0.0,2
13,84.0,91.0,0,0.0,2
14,91.0,98.0,0,0.0,2
15,98.0,105.0,0,0.0,2
16,105.0,112.0,0,0.0,2
17,112.0,119.0,0,0.0,2
18,119.0,126.0,0,0.0,2
19,126.0,133.0,0,0.0,2
20,133.0,140.0,0,0.0,2
21,140.0,147.0,0,0.0,2
1,0.0,7.0,16,16.0,3
2,7.0,14.0,92,92.0,3
3,14.0,21.0,350,350.0,3
4,21.0,28.0,353,353.0,3
5,28.0,35.0,125,125.0,3
6,35.0,42.0,20,20.0,3
7,42.0,49.0,12,12.0,3
8,49.0,56.0,4,4.0,3
9,56.0,63.0,1,1.0,3
10,63.0,70.0,0,0.0,3
11,70.0,77.0,0,0.0,3
12,77.0,84.0,0,0.0,3
13,84.0,91.0,0,0.0,3
14,91.0,98.0,0,0.0,3
15,98.0,105.0,0,0.0,3
16,105.0,112.0,0,0.0,3
17,112.0,119.0,0,0.0,3
18,119.0,126.0,0,0.0,3
19,126.0,133.0,0,0.0,3
20,133.0,140.0,0,0.0,3
21,140.0,147.0,0,0.0,3
1,0.0,7.0,49,49.0,4
2,7.0,14.0,175,175.0,4
3,14.0,21.0,409,409.0,4
4,21.0,28.0,227,227.0,4
5,28.0,35.0,66,66.0,4
6,35.0,42.0,26,26.0,4
7,42.0,49.0,7,7.0,4
8,49.0,56.0,3,3.0,4
9,56.0,63.0,4,4.0,4
10,63.0,70.0,0,0.0,4
11,70.0,77.0,0,0.0,4
12,77.0,84.0,0,0.0,4
13,84.0,91.0,0,0.0,4
14,91.0,98.0,0,0.0,4
15,98.0,105.0,0,0.0,4
16,105.0,112.0,0,0.0,4
17,112.0,119.0,0,0.0,4
18,119.0,126.0,0,0.0,4
19,126.0,133.0,0,0.0,4
20,133.0,140.0,0,0.0,4
21,140.0,147.0,0,0.0,4
1,0.0,7.0,17,17.0,5
