period,t_start,t_end,true_incidence,reported_incidence,eta,rep
1,0.0,7.0,30,30.0,3.0,1
2,7.0,14.0,201,201.0,3.0,1
3,14.0,21.0,386,386.0,3.0,1
4,21.0,28.0,263,263.0,3.0,1
5,28.0,35.0,66,66.0,3.0,1
6,35.0,42.0,23,23.0,3.0,1
7,42.0,49.0,6,6.0,3.0,1
8,49.0,56.0,0,0.0,3.0,1
9,56.0,63.0,0,0.0,3.0,1
10,63.0,70.0,1,1.0,3.0,1
11,70.0,77.0,0,0.0,3.0,1
12,77.0,84.0,0,0.0,3.0,1
13,84.0,91.0,0,0.0,3.0,1
14,91.0,98.0,1,1.0,3.0,1
15,98.0,105.0,0,0.0,3.0,1
16,105.0,112.0,0,0.0,3.0,1
17,112.0,119.0,0,0.0,3.0,1
18,119.0,126.0,0,0.0,3.0,1
19,126.0,133.0,0,0.0,3.0,1
20,133.0,140.0,0,0.0,3.0,1
21,140.0,147.0,0,0.0,3.0,1
1,0.0,7.0,23,23.0,3.0,2
2,7.0,14.0,105,105.0,3.0,2
3,14.0,21.0,232,232.0,3.0,2
4,21.0,28.0,355,355.0,3.0,2
5,28.0,35.0,186,186.0,3.0,2
6,35.0,42.0,49,49.0,3.0,2
7,42.0,49.0,14,14.0,3.0,2
8,49.0,56.0,6,6.0,3.0,2
9,56.0,63.0,0,0.0,3.0,2
10,63.0,70.0,1,1.0,3.0,2
11,70.0,77.0,0,0.0,3.0,2
12,77.0,84.0,0,0.0,3.0,2
13,84.0,91.0,0,0.0,3.0,2
14,91.0,98.0,0,0.0,3.0,2
15,98.0,105.0,0,0.0,3.0,2
16,105.0,112.0,0,0.0,3.0,2
17,112.0,119.0,0,0.0,3.0,2
18,119.0,126.0,0,0.0,3.0,2
19,126.0,133.0,0,0.0,3.0,2
20,133.0,140.0,0,0.0,3.0,2
21,140.0,147.0,0,0.0,3.0,2
1,0.0,7.0,52,52.0,3.0,3
2,7.0,14.0,236,236.0,3.0,3
3,14.0,21.0,393,393.0,3.0,3
4,21.0,28.0,222,222.0,3.0,3
5,28.0,35.0,46,46.0,3.0,3
6,35.0,42.0,11,11.0,3.0,3
7,42.0,49.0,5,5.0,3.0,3
8,49.0,56.0,2,2.0,3.0,3
9,56.0,63.0,1,1.0,3.0,3
10,63.0,70.0,0,0.0,3.0,3
11,70.0,77.0,1,1.0,3.0,3
12,77.0,84.0,0,0.0,3.0,3
13,84.0,91.0,0,0.0,3.0,3
14,91.0,98.0,0,0.0,3.0,3
15,98.0,105.0,0,0.0,3.0,3
16,105.0,112.0,0,0.0,3.0,3
17,112.0,119.0,0,0.0,3.0,3
18,119.0,126.0,0,0.0,3.0,3
19,126.0,133.0,0,0.0,3.0,3
20,133.0,140.0,0,0.0,3.0,3
21,140.0,147.0,0,0.0,3.0,3
1,0.0,7.0,37,37.0,3.0,4
2,7.0,14.0,185,185.0,3.0,4
3,14.0,21.0,361,361.0,3.0,4
4,21.0,28.0,271,271.0,3.0,4
5,28.0,35.0,71,71.0,3.0,4
6,35.0,42.0,22,22.0,3.0,4
7,42.0,49.0,9,9.0,3.0,4
8,49.0,56.0,2,2.0,3.0,4
9,56.0,63.0,0,0.0,3.0,4
10,63.0,70.0,1,1.0,3.0,4
11,70.0,77.0,1,1.0,3.0,4
12,77.0,84.0,0,0.0,3.0,4
13,84.0,91.0,1,1.0,3.0,4
14,91.0,98.0,0,0.0,3.0,4
15,98.0,105.0,0,0.0,3.0,4
16,105.0,112.0,0,0.0,3.0,4
17,112.0,119.0,0,0.0,3.0,4
18,119.0,126.0,0,0.0,3.0,4
19,126.0,133.0,0,0.0,3.0,4
20,133.0,140.0,0,0.0,3.0,4
21,140.0,147.0,0,0.0,3.0,4
1,0.0,7.0,75,75.0,3.0,5
2,7.0,14.0,183,183.0,3.0,5
3,14.0,21.0,410,410.0,3.0,5
4,21.0,28.0,223,223.0,3.0,5
5,28.0,35.0,47,47.0,3.0,5
6,35.0,42.0,13,13.0,3.0,5
7,42.0,49.0,5,5.0,3.0,5
8,49.0,56.0,7,7.0,3.0,5
9,56.0,63.0,1,1.0,3.0,5
10,63.0,70.0,1,1.0,3.0,5
11,70.0,77.0,0,0.0,3.0,5
12,77.0,84.0,0,0.0,3.0,5
13,84.0,91.0,0,0.0,3.0,5
14,91.0,98.0,0,0.0,3.0,5
15,98.0,105.0,0,0.0,3.0,5
16,105.0,112.0,0,0.0,3.0,5
17,112.0,119.0,0,0.0,3.0,5
18,119.0,126.0,0,0.0,3.0,5
19,126.0,133.0,0,0.0,3.0,5
20,133.0,140.0,0,0.0,3.0,5
21,140.0,147.0,0,0.0,3.0,5
1,0.0,7.0,105,105.0,3.0,6
2,7.0,14.0,335,335.0,3.0,6
3,14.0,21.0,381,381.0,3.0,6
4,21.0,28.0,102,102.0,3.0,6
5,28.0,35.0,30,30.0,3.0,6
6,35.0,42.0,5,5.0,3.0,6
7,42.0,49.0,4,4.0,3.0,6
8,49.0,56.0,0,0.0,3.0,6
9,56.0,63.0,0,0.0,3.0,6
10,63.0,70.0,1,1.0,3.0,6
11,70.0,77.0,0,0.0,3.0,6
12,77.0,84.0,0,0.0,3.0,6
13,84.0,91.0,0,0.0,3.0,6
14,91.0,98.0,0,0.0,3.0,6
15,98.0,105.0,0,0.0,3.0,6
16,105.0,112.0,0,0.0,3.0,6
17,112.0,119.0,0,0.0,3.0,6
18,119.0,126.0,0,0.0,3.0,6
19,126.0,133.0,0,0.0,3.0,6
20,133.0,140.0,0,0.0,3.0,6
21,140.0,147.0,0,0.0,3.0,6
1,0.0,7.0,23,23.0,3.0,7
2,7.0,14.0,158,158.0,3.0,7
3,14.0,21.0,359,359.0,3.0,7
4,21.0,28.0,287,287.0,3.0,7
5,28.0,35.0,90,90.0,3.0,7
6,35.0,42.0,33,33.0,3.0,7
7,42.0,49.0,7,7.0,3.0,7
8,49.0,56.0,2,2.0,3.0,7
9,56.0,63.0,2,2.0,3.0,7
10,63.0,70.0,1,1.0,3.0,7
11,70.0,77.0,0,0.0,3.0,7
12,77.0,84.0,0,0.0,3.0,7
13,84.0,91.0,0,0.0,3.0,7
14,91.0,98.0,0,0.0,3.0,7
15,98.0,105.0,0,0.0,3.0,7
16,105.0,112.0,0,0.0,3.0,7
17,112.0,119.0,0,0.0,3.0,7
18,119.0,126.0,0,0.0,3.0,7
19,126.0,133.0,0,0.0,3.0,7
20,133.0,140.0,0,0.0,3.0,7
21,140.0,147.0,0,0.0,3.0,7
1,0.0,7.0,22,22.0,3.0,8
2,7.0,14.0,108,108.0,3.0,8
3,14.0,21.0,219,219.0,3.0,8
4,21.0,28.0,370,370.0,3.0,8
5,28.0,35.0,184,184.0,3.0,8
6,35.0,42.0,41,41.0,3.0,8
7,42.0,49.0,12,12.0,3.0,8
8,49.0,56.0,2,2.0,3.0,8
9,56.0,63.0,0,0.0,3.0,8
10,63.0,70.0,2,2.0,3.0,8
11,70.0,77.0,2,2.0,3.0,8
12,77.0,84.0,0,0.0,3.0,8
13,84.0,91.0,0,0.0,3.0,8
14,91.0,98.0,0,0.0,3.0,8
15,98.0,105.0,0,0.0,3.0,8
16,105.0,112.0,0,0.0,3.0,8
17,112.0,119.0,0,0.0,3.0,8
18,119.0,126.0,0,0.0,3.0,8
19,126.0,133.0,0,0.0,3.0,8
20,133.0,140.0,0,0.0,3.0,8
21,140.0,147.0,0,0.0,3.0,8
1,0.0,7.0,69,69.0,3.0,9
2,7.0,14.0,208,208.0,3.0,9
3,14.0,21.0,394,394.0,3.0,9
4,21.0,28.0,212,212.0,3.0,9
5,28.0,35.0,63,63.0,3.0,9
6,35.0,42.0,13,13.0,3.0,9
7,42.0,49.0,4,4.0,3.0,9
8,49.0,56.0,3,3.0,3.0,9
9,56.0,63.0,1,1.0,3.0,9
10,63.0,70.0,0,0.0,3.0,9
11,70.0,77.0,0,0.0,3.0,9
12,77.0,84.0,0,0.0,3.0,9
13,84.0,91.0,0,0.0,3.0,9
14,91.0,98.0,0,0.0,3.0,9
15,98.0,105.0,0,0.0,3.0,9
16,105.0,112.0,0,0.0,3.0,9
17,112.0,119.0,0,0.0,3.0,9
18,119.0,126.0,0,0.0,3.0,9
19,126.0,133.0,0,0.0,3.0,9
20,133.0,140.0,0,0.0,3.0,9
21,140.0,147.0,0,0.0,3.0,9
1,0.0,7.0,20,20.0,3.0,10
2,7.0,14.0,106,106.0,3.0,10
3,14.0,21.0,302,302.0,3.0,10
4,21.0,28.0,346,346.0,3.0,10
5,28.0,35.0,141,141.0,3.0,10
6,35.0,42.0,33,33.0,3.0,10
7,42.0,49.0,13,13.0,3.0,10
8,49.0,56.0,2,2.0,3.0,10
9,56.0,63.0,2,2.0,3.0,10
10,63.0,70.0,0,0.0,3.0,10
11,70.0,77.0,0,0.0,3.0,10
12,77.0,84.0,0,0.0,3.0,10
13,84.0,91.0,0,0.0,3.0,10
14,91.0,98.0,0,0.0,3.0,10
15,98.0,105.0,0,0.0,3.0,10
16,105.0,112.0,0,0.0,3.0,10
17,112.0,119.0,0,0.0,3.0,10
